epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,14190.9,0.82088,0.56346,1.19695,0.85294,0.90043,0.89218,0.70075,0.83276,117.556,1.18267,0.00361914,0.00361914,0.00361914
167,14274.6,0.82106,0.55888,1.19443,0.85292,0.90048,0.89231,0.70059,0.83236,117.462,1.1824,0.00358047,0.00358047,0.00358047
168,14362.3,0.81553,0.55862,1.19225,0.85324,0.90089,0.89237,0.70111,0.83223,117.275,1.18213,0.0035418,0.0035418,0.0035418
169,14448.9,0.822,0.56192,1.19592,0.85334,0.90022,0.8926,0.70183,0.83206,117.181,1.18184,0.00350313,0.00350313,0.00350313
170,14532.5,0.81757,0.5569,1.19603,0.85373,0.8996,0.89285,0.70187,0.8316,116.995,1.18132,0.00346445,0.00346445,0.00346445
171,14617.7,0.81294,0.55141,1.18796,0.8548,0.8983,0.89294,0.70173,0.83143,116.901,1.18105,0.00342578,0.00342578,0.00342578
172,14703.3,0.81114,0.55049,1.19032,0.85481,0.89791,0.89307,0.70206,0.83107,116.808,1.18083,0.00338711,0.00338711,0.00338711
173,14789,0.81498,0.55289,1.18978,0.85526,0.89728,0.89321,0.70254,0.831,116.715,1.18066,0.00334844,0.00334844,0.00334844
174,14874.5,0.80845,0.54738,1.18605,0.85569,0.89721,0.89323,0.70251,0.83078,116.529,1.18054,0.00330977,0.00330977,0.00330977
175,14960,0.80806,0.54692,1.18465,0.85528,0.89686,0.89309,0.70262,0.83075,116.342,1.18041,0.00327109,0.00327109,0.00327109
176,15045.7,0.79953,0.53995,1.17609,0.85528,0.89695,0.89336,0.70262,0.83054,116.062,1.18016,0.00323242,0.00323242,0.00323242
177,15131.4,0.7998,0.54142,1.17267,0.8573,0.8961,0.89341,0.70302,0.83024,115.783,1.17982,0.00319375,0.00319375,0.00319375
178,15216.7,0.80389,0.54467,1.18207,0.85767,0.89619,0.89342,0.70294,0.83025,115.689,1.17958,0.00315508,0.00315508,0.00315508
